MESSAGE_CREATE,GUILD_MEMBER_UPDATE,TYPING_START
0,0,0
21,5,12
47,14,25
72,31,40
96,41,49
120,51,60
138,54,68
153,61,78
161,74,82
174,92,95
202,105,116
217,116,129
225,127,142
246,140,158
274,148,179
294,159,186
307,172,195
320,182,204
341,198,215
360,208,224
382,222,238
405,234,251
425,242,264
445,260,276
0,0,0
17,12,12
31,21,30
42,28,38
51,40,47
67,50,55
80,62,64
92,75,79
0,0,0
22,13,14
47,29,38
74,37,70
94,51,85
110,63,105
123,75,121
144,87,146
159,93,152
165,107,159
170,117,160
182,129,171
186,139,177
195,155,193
204,163,199
216,182,208
226,192,214
230,200,218
233,209,222
238,223,229
243,228,235
258,240,240
273,250,248
296,262,260
313,272,270
321,283,277
331,301,282
341,315,286
345,323,293
353,335,296
367,341,301
382,354,307
389,373,310
397,383,314
400,394,320
421,409,333
426,422,342
435,435,346
446,447,352
460,462,360
481,474,373
488,482,378
502,492,389
524,508,410
544,518,427
559,535,435
584,544,443
603,550,457
621,562,476
648,573,503
668,585,519
679,598,530
693,611,537
703,625,543
711,638,548
722,654,554
735,662,555
743,681,561
748,687,568
761,703,576
772,723,580
777,735,585
783,744,592
793,754,597
797,768,607
812,780,618
814,791,618
818,803,625
838,817,640
878,833,668
901,854,684
911,868,697
932,893,713
947,918,726
963,929,733
979,948,740
989,968,749
1002,979,760
1040,996,773
1053,1007,785
1069,1017,796
1089,1034,808
1099,1046,818
1114,1063,830
1131,1074,846
1144,1084,857
1161,1095,866
1184,1108,882
1203,1117,897
1220,1135,914
1240,1151,930
1256,1162,946
1275,1183,957
1287,1195,969
1299,1207,979
1306,1220,991
1312,1233,998
1318,1243,1003
1323,1258,1009
1330,1270,1013
1340,1282,1017
1354,1301,1025
1359,1318,1028
1364,1331,1032
1371,1351,1041
1377,1358,1047
1384,1368,1050
1387,1374,1054
1401,1381,1061
1402,1393,1061
1402,1407,1061
1406,1423,1064
1407,1432,1066
1411,1445,1067
1414,1458,1069
1414,1476,1073
1417,1490,1082
1433,1502,1085
1440,1515,1090
1455,1525,1092
1460,1537,1093
1463,1552,1097
1477,1571,1104
1482,1592,1106
1487,1607,1109
1488,1624,1110
1490,1642,1112
1490,1653,1112
1490,1667,1112
1504,1673,1114
1508,1679,1120
1515,1693,1125
1529,1707,1130
1530,1714,1131
1535,1731,1132
1537,1743,1134
1543,1755,1137
1550,1769,1140
1553,1778,1147
1559,1789,1148
1563,1797,1150
1566,1808,1151
1570,1820,1151
1572,1833,1153
1577,1844,1154
1581,1857,1156
1582,1863,1158
1593,1876,1165
1596,1888,1169
1603,1896,1173
1609,1909,1175
1622,1920,1180
1634,1929,1185
1652,1946,1199
1658,1950,1205
1661,1964,1206
1666,1976,1210
1670,1989,1214
1679,1999,1218
1685,2010,1224
1692,2018,1230
1701,2028,1238
1711,2042,1246
1715,2061,1248
1716,2079,1248
1723,2093,1254
1728,2106,1258
1733,2113,1262
1737,2126,1267
1739,2142,1272
1741,2147,1275
1746,2164,1278
1747,2188,1279
1751,2194,1282
1755,2206,1288
1758,2219,1290
1759,2231,1291
1765,2245,1294
1773,2253,1297
1780,2267,1299
1787,2285,1299
1788,2300,1300
1790,2310,1302
1793,2321,1305
1797,2334,1307
1799,2353,1308
1806,2362,1313
1812,2374,1320
1816,2384,1324
1820,2395,1330
1824,2403,1340
1832,2414,1350
1842,2419,1359
1865,2432,1368
1881,2441,1373
1893,2454,1384
1906,2467,1398
1916,2474,1410
1923,2488,1418
1928,2503,1426
1937,2512,1432
1946,2522,1435
1952,2534,1443
1963,2544,1449
1974,2558,1453
1988,2565,1455
1996,2576,1459
2003,2595,1462
2010,2601,1470
2037,2616,1477
2058,2626,1480
2076,2640,1487
2091,2655,1493
2098,2671,1500
2123,2681,1508
2136,2695,1519
2143,2705,1527
2149,2717,1534
2154,2724,1540
2164,2739,1547
2180,2752,1552
2187,2760,1559
2195,2774,1562
2212,2784,1575
2218,2803,1579
2227,2816,1585
2254,2823,1593
2268,2830,1597
2282,2843,1607
2290,2850,1616
2299,2863,1624
2309,2876,1634
2335,2881,1642
2354,2892,1657
2362,2903,1665
2369,2913,1676
2377,2921,1681
2395,2933,1694
2400,2945,1696
2409,2957,1699
2425,2966,1710
2471,2979,1731
2581,2994,1738
2594,3007,1745
2601,3011,1749
2615,3019,1750
2622,3038,1754
2634,3051,1764
2644,3066,1772
2647,3082,1778
2661,3093,1782
2674,3107,1792
2685,3114,1801
2701,3124,1809
2706,3139,1816
2721,3153,1829
2737,3169,1842
2743,3177,1849
2779,3193,1854
2785,3204,1859
2791,3221,1869
2799,3227,1873
2803,3238,1877
2806,3251,1879
2813,3266,1881
2827,3283,1888
2835,3298,1893
2837,3305,1894
2838,3319,1895
2845,3331,1898
2848,3340,1899
2856,3347,1903
2857,3354,1905
2867,3372,1909
2885,3386,1911
2902,3396,1911
2904,3405,1911
2914,3422,1915
2920,3437,1920
2923,3449,1923
2925,3460,1923
2931,3470,1923
2944,3479,1927
2951,3490,1928
2963,3499,1933
2973,3511,1938
2986,3515,1945
3004,3521,1954
3014,3533,1963
3029,3546,1973
3045,3556,1977
3058,3578,1980
3075,3593,1989
3089,3605,1997
3099,3611,2004
3106,3625,2006
3128,3633,2010
3151,3650,2017
3159,3669,2021
3194,3684,2028
3235,3696,2034
3264,3710,2046
3271,3717,2047
3287,3728,2052
3290,3740,2055
3317,3754,2056
3328,3765,2059
3339,3774,2061
3346,3790,2066
3377,3803,2069
3388,3810,2073
3398,3817,2080
3419,3831,2090
3441,3843,2095
3448,3856,2104
3456,3862,2114
3478,3878,2118
3482,3885,2120
3496,3901,2127
3505,3912,2130
3509,3922,2134
3516,3929,2138
3527,3944,2141
3532,3955,2144
3539,3973,2146
3543,3983,2147
3558,3995,2155
3578,4009,2156
3583,4016,2159
3587,4032,2162
3593,4040,2164
3608,4049,2172
3640,4062,2182
3652,4078,2193
3663,4087,2202
3680,4095,2210
3725,4104,2214
3759,4116,2225
3763,4120,2229
3821,4127,2234
3824,4137,2238
3825,4141,2240
3829,4151,2248
3832,4167,2248
3833,4177,2254
3836,4193,2258
3837,4205,2260
3845,4219,2268
3851,4229,2271
3864,4245,2273
3876,4263,2280
3885,4283,2283
3887,4295,2287
3890,4308,2288
3893,4314,2290
3904,4323,2298
3918,4330,2304
3926,4339,2304
3934,4352,2307
3948,4365,2311
3953,4375,2311
3956,4389,2311
3968,4400,2312
3968,4419,2312
3968,4426,2312
3971,4438,2314
3982,4453,2318
3990,4465,2323
3998,4481,2328
4006,4496,2328
4008,4506,2329
4009,4512,2331
4017,4523,2336
4026,4536,2341
4032,4541,2344
4039,4552,2350
4046,4556,2355
4053,4564,2362
4058,4569,2369
4070,4579,2377
4079,4588,2385
4084,4598,2391
4092,4606,2400
4095,4614,2406
4103,4632,2410
4114,4644,2415
4124,4656,2420
4124,4668,2420
4126,4683,2420
4126,4697,2420
4134,4707,2421
4137,4718,2424
4138,4730,2424
4150,4740,2429
4156,4753,2432
4162,4763,2432
4163,4772,2434
4166,4783,2437
4170,4790,2441
4184,4796,2448
4208,4808,2454
4225,4815,2460
4234,4822,2468
4246,4837,2479
4251,4844,2483
4252,4857,2484
4255,4865,2486
4259,4881,2488
4260,4888,2488
4265,4892,2490
4268,4909,2490
4281,4922,2495
4283,4933,2497
4283,4944,2503
4289,4950,2505
4290,4968,2507
4297,4986,2514
4302,4991,2515
4303,4998,2516
4310,5010,2522
4319,5022,2527
4322,5032,2531
4330,5040,2535
4348,5052,2539
4364,5057,2546
4378,5064,2553
4398,5086,2562
4415,5093,2567
4428,5103,2572
4433,5109,2574
4441,5126,2579
4449,5133,2579
4456,5141,2582
4466,5156,2587
4474,5175,2591
4478,5181,2596
4483,5189,2601
4490,5196,2607
4515,5208,2614
4530,5214,2614
4535,5221,2614
4537,5234,2615
4551,5243,2619
4558,5250,2622
4566,5261,2624
4584,5277,2629
4605,5288,2638
4608,5302,2639
4617,5316,2648
4632,5322,2654
4640,5327,2660
4654,5332,2667
4700,5342,2674
4737,5350,2677
4759,5356,2685
4830,5363,2689
4850,5374,2695
4860,5381,2701
4870,5391,2707
4924,5400,2709
4928,5411,2712
4930,5424,2716
4931,5438,2719
4935,5447,2722
4943,5458,2729
4951,5470,2733
4969,5484,2749
4982,5496,2760
4997,5504,2771
5002,5510,2771
5014,5523,2776
5017,5553,2781
5020,5563,2784
5026,5570,2787
5039,5576,2792
5041,5582,2795
5047,5595,2799
5052,5605,2805
5055,5610,2807
5057,5619,2816
5069,5630,2824
5073,5637,2831
5082,5642,2838
5088,5653,2849
5101,5666,2860
5125,5674,2875
5138,5677,2883
5158,5692,2893
5186,5696,2908
5199,5708,2919
5224,5720,2927
5252,5731,2938
5269,5739,2951
5282,5749,2959
5292,5761,2968
5301,5766,2977
5318,5775,2984
5332,5783,2992
5341,5790,3002
5352,5802,3010
5364,5811,3021
5378,5821,3033
5394,5832,3046
5416,5841,3057
5428,5854,3064
5443,5859,3076
5471,5866,3087
5483,5874,3093
5499,5883,3099
5511,5893,3106
5524,5902,3117
5542,5910,3132
5557,5916,3141
5576,5927,3154
5598,5940,3174
5615,5950,3187
